label,text,predicted_class
1,go go going chinese woman fuel thai tourism boom,True
0,hillary call cranky socialist stole election sway free sh voter video,Fake
0,hillary barack choose islam christianity every time,Fake
1,race obsessed democrat congressman caught allowing daughter use vehicle congressional plate taxi hire,True
0,wow russian lawyer met donald trump jr seen photo person tied obama 8 day meeting,Fake
1,north korea kim jong un fete nuclear scientist hold celebration bash,True
1,ten million australian vote far sex marriage poll,True
0,granny clinton go way left fear mongering cause hurricane hermine,Fake
1,russia putin say able solve north korea crisis diplomatic mean,True
0,indoctrinated college student stunned ugly truth hillary candidate said,Fake
1,italy court deal blow 5 star ahead sicily vote,True
0,hawkish dove enigma donald trump volatile race white house,Fake
1,myanmar say body 28 hindu villager found rakhine state,True
1,france say turkish russia missile deal sovereign decision,True
0,colin powell say hillary lying private email server conversation recollection dinner conversation video,Fake
0,triggered police officer kicked event wearing uniform,Fake
1,brazil congress advance bill curb party proliferation,True
0,medium tripwire ping pong pizza conspiracy propels internet censorship amid fake news witch hunt,Fake
0,ceo threatened kill trump sniper rifle say life turned upside video,Fake
0,disgrace obama regime caught wasting 25 million u tax dollar phony climate change country citizen starving video,Fake
0,gwenyth paltrow understand named hated celebrity,Fake
0,libertarian gary johnson endorses black life matter,Fake
0,kimberly guilfoyle serious legal issue surround rachel maddow report trump 2005 tax return video,Fake
1,provocation republican senator introduce new bill move u embassy israel jerusalem,True
0,meet leftist assistant professor made bogus list fake conservative website went viral,Fake
0,new low nyt cbs used fake news smear wounded warrior project triple amputee vet freedom daily expose,Fake
0,donna brazile finally admits giving hillary question debate medium hold crooked hillary accountable accepting question video,Fake
1,explosion rock myanmar area near bangladesh border amid rohingya exodus,True
0,holy moly trump give epic news conference slays press dress cnn rating lower congress network hate video,Fake
1,cyprus president seek second five year term jan 18 vote,True
1,new kosovo pm pledge dialogue serbia graft fight,True
1,u maintain cuba venezuela sanction freedom restored trump,True
1,spanish foreign minister call catalonia leader speech trick,True
0,whoa first lady melania make classy,Fake
0,speaker scheduled praise hillary totally trash taken stage security video,Fake
0,spirit halloween cave trans mafia take offensive caitlyn jenner costume website,Fake
0,az rancher living u mexico border destroy nancy pelosi claim trump weak wanting border wall video,Fake
0,violence escalate chicago police chief told officer stand trump rally video,Fake
0,safe welfare state sweden descends anarchy muslim refugee situation control,Fake
1,hope evaporating grim wait relative mexico quake,True
0,democrat mock american believing climate change part obamatrade two week later obama announces climate change part obamatrade,Fake
1,ireland call realism uk border issue latest brexit talk,True
0,fox news freefall bill reilly loses kid allegedly choking wife trump hater,Fake
0,police dept cancel high five cop elementary school concern offending undocumented child kid color,Fake
0,melania win huge settlement tabloid fake embarrassing claim,Fake
0,obama communist crony van jones worry tell child america video,Fake
0,thug anniversary get violent ferguson cellphone capture shocking video protester blocking traffic mowed car shot erupt video,Fake
0,broke city chicago spends taxpayer money sticking trump huge f installed right outside luxury hotel,Fake
0,illegals american citizen aclu sue 3 missouri college refusing tuition benefit illegal alien,Fake
1,uk parliament vote brexit deal european parliament may,True
1,final assault start syria raqqa islamic state fighter quit,True
0,breaking obama war cop another cop ambushed shot 3 time neck black man lengthy criminal history w st louis,Fake
0,liberal imperium quigley anglo american establishment jay dyer half,Fake
1,india modi head myanmar rohingya refugee crisis worsens,True
1,chinese sub dock malaysian port second time year,True
0,shocker grammy attendee wear make america great gown press go nut,Fake
0,gun control kid video 13 yr old told remove battlefield cross fallen soldier shirt face suspension,Fake
0,british woman loses virginity asylum seeking rapist way church,Fake
1,brazil meirelles hired medium team ahead 2018 election source,True
1,japan aso retracts hitler comment criticism,True
0,john mccain cancer conflict,Fake
1,kurd force move back defense line around kirkuk disengagement effort,True
0,benghazi liar back susan rice adam schiff caught another huge scandal time target president trump video,Fake
1,ghana fuel site blast kill least 7 injures dozen,True
0,cherokee people express disgust lying elizabeth warren faking native american heritage get prestigious law professor job,Fake
1,pope urge skeptical colombian accept peace guerrilla,True
0,wow leftist bully rosie donnell push horrible rumor social medium suggests barron trump mental disorder video,Fake
0,obama dance last ever white house gig drake hotline bling video,Fake
0,flashback uncovered video show hypocrite harry reid telling congress sane country would birthright citizenship,Fake
1,turkey issue arrest warrant 25 soldier post coup probe source,True
1,keeping competition iran startup thrive despite sanction,True
1,uk police say cordon bolton lifted package suspicious,True
0,boiler room ep 85 5 watching watcher,Fake
1,u condemns killing malta journalist say fbi assisting probe,True
0,dyer la time fake news article attack independent medium,Fake
0,reflection world gone mad pushing back neocolonialist thuggery,Fake
1,germany watching trump iran decision great concern,True
1,iraqi prime minister declares victory tal afar,True
1,exclusive displaced rohingya camp face aid crisis myanmar violence,True
1,palestinian protester attack u embassy lebanon,True
0,declassified u intel report used discredit trump huge embarrassment evidence compiled 2012 obama reelection,Fake
0,buried medium aide leftist u congressman sander levin mi arrested brutally beating male lover shovel want kill die dirty faggy,Fake
0,barack obama show serious fighting terrorism release osama bin laden bodyguard gitmo,Fake
1,exclusive mexico unlikely find quake survivor emergency chief say,True
0,black racist tried shut threatening intimidating big mistake video,Fake
0,minority turn obama blast legacy voted black as legacy obamaphones transgendered toilet video,Fake
1,moon abe agree pursue strong u n sanction north korea blue house,True
0,crazy video mayor baltimore gave rioter space destroy,Fake
0,non profit violent berkeley bamn leader surprised table turned interview video,Fake
1,macron convinced trump see u interest lie inside paris climate deal,True
0,party girl malia obama caught camera rolling pounding fist ground wild chicago lallapalooza festival,Fake
1,trump say approve lifting restriction south korea missile payload limit,True
0,pc world gone mad harvard business school grad run marathon without tampon highlight sentiment period shaming,Fake
1,thousand rohingya flee bangladesh fresh violence erupts myanmar,True
1,south african supreme court upholds reinstating 783 corruption charge zuma,True
1,catalan occupy voting station defy madrid order stop referendum,True
1,uk boris johnson reignites leadership speculation brexit plan,True
0,every hollywood actor approved meryl streep anti trump rant last night check vince vaughn mel gibson reaction,Fake
0,watch insane video chicago cop spill bean really happened chicago,Fake
1,world bank approves 150 million disaster fund dominican republic,True
1,petrol bomb tear gas athens rally mark rapper killing,True
0,boiler room 103 smoking gunz,Fake
1,catalan leader cast vote banned independence referendum,True
0,video leftist cnn anchor tell racist u rep baltimoreriots vet fault come back war ready battle,Fake
0,susan rice lie andrea mitchell judy woodruff two week ago video,Fake
0,congress deal knock punch obama back door gun grab gun owner cheering,Fake
1,iran halt flight iraq kurdish region retaliation independence vote,True
1,ugandan mp cite intimidation ahead move extend museveni rule,True
1,defeat islamic state raqqa may herald wider struggle u,True
1,catalan standoff touch separatist heart beyond spain,True
0,bill clinton caught groping flight attendant plane realized camera recording video,Fake
0,family australian woman fatally shot want minnesota cop charged,Fake
0,hey voter pay play hillary non profit foundation still fbi investigation,Fake
0,radical nyc mayor skip nypd swearing ceremony join violent g 20 protester germany gop mayoral candidate slam social medium,Fake
1,islamic state family moved site north mosul iraq confirms,True
0,watch trump supporter crash pro sanctuary city press conference radical call open border video,Fake
1,reopen kurt cobain case poll,True
1,japan pm abe say aim increase missile defense capability,True
1,germany schaeuble elected bundestag speaker tackle far right,True
0,british mp nigel evans shame anti trump parliament going go history roundly condemned politician keep promise video,Fake
0,nyc anti trump rally video dad tell little kid look vet eye gonna fighting video brave trump supporter follows rally soros funded sign,Fake
1,china southeast asia aim build trust sea drill singapore say,True
0,city across america replacing columbus day indigenous people day,Fake
1,turkish measure northern iraq target civilian pm say,True
0,trumpdom curious world trump foreign policy explained,Fake
1,italy lower house pass new electoral law move senate,True
0,pakistani court sentence christian man death blasphemy,Fake
0,meet ca sheriff bullied obama illegal immigrant activist believe law apply lawbreaker,Fake
1,kenyan police cooperating watchdog election related death source,True
0,must watch video watch track field olympian national anthem played video,Fake
0,liberal journalist go border get shocking answer wall mexico video,Fake
0,oops mit researcher debunk global warming data report confirms president trump right pull paris climate agreement,Fake
0,oops list top 10 corporate tax dodger hillary donor compliment bernie sander,Fake
1,ugandan special force accused ejecting mp parliament,True
0,medium ignores time bill clinton fired fbi director day vince foster found dead,Fake
0,pope writing document fake news truth,Fake
1,hungary fidesz prepares campaign soros plan migrant,True
0,hungarian find shocking video phone left behind muslim migrant,Fake
0,message president trump syria assad also need help defeat terrorism,Fake
0,hillary pander black vote bust awkard,Fake
0,episode 153 sunday wire nuremberg syndrome guest mother agnes,Fake
0,madness berkeley anarchist clash trump supporter pro trump rally guy got hit head really hard video,Fake
1,u want u n vote new north korea sanction next monday,True
0,encryption truth fbi telling battle apple san bernardino,Fake
0,undercover video expose obama lie gun show loophole,Fake
1,trump accelerating decline u global influence,True
1,portugal government survives confidence vote fire,True
1,berlin vote keep cold war era tegel airport open,True
0,bigger snowden wikileaks vault 7 classified cia leak mean,Fake
1,mattis slam false report trump request nuclear arm hike,True
1,congo refugee pour border angola backing kabila doubt,True
0,usa today article blame white mlk murder white killed mlk honor century kidnapping,Fake
1,trump resists pressure soften stance iran nuclear deal,True
0,proof know losing hillary campaign spokesman tell trump go f ck debate,Fake
1,nigerian military label biafra separatist group terrorist organization,True
0,epic liberal smackdown burning street,Fake
0,bikers trump travel future rally provide outside security paid soros thug hillary bernie sander,Fake
1,white house request 29 billion hurricane relief,True
1,germany approves sale three thyssenkrupp submarine israel,True
1,vice president penny trump greatly concern irma briefing,True
1,malaysia identifies victim religious school fire amid outrage safety,True
0,doj continues obsession discrediting ferguson police ridiculous new report,Fake
0,major cosmetic company announces plan release anti trump hair product boycott,Fake
0,brilliant trump adviser extreme medium gotten donald trump wrong since announced video,Fake
1,pakistan bar militant linked group forming new political party,True
0,breaking courageous federal judge denies obama request lift stay executive amnesty,Fake
0,planned parenthood fundraises shooting problem,Fake
1,hong kong vanishing archive battle preserve history,True
1,daily shooter academy florida woman shot dead police roleplay drill,True
1,turkey kill 99 kurdish militant latest operation military,True
1,field commander u backed sdf expects raqqa fight end monday,True
0,patrick henningsen live guest sean stone project new global government,Fake
1,iraqi force take control kurdish held area mosul niveveh province,True
0,mass nye sexual assault europe explained video innocent rape game played muslim arab nation,Fake
1,merkel back tougher u n sanction north korea call putin,True
0,serial plagiarist victory dance white people dying,Fake
0,young girl clinton destroyed monica lewinsky probably 41 year old want 22,Fake
1,elite nazi allied order hungary claim trump adviser sebastian gorka sworn member,True
0,outrageous video obama keep stirring flame division hate,Fake
1,baghdad pile pressure iraqi kurd reverse overwhelming independence vote,True
1,seven miner killed one missing coal mine collapse turkey,True
1,u call myanmar stop violence displacement rohingya,True
1,trump expected pressure china xi rein north korea official,True
1,germany green want power plant shut price coalition,True
1,northern ireland leader appeal vp penny bombardier challenge,True
1,south african minister call anc discipline zuma report,True
1,rohingya muslim trapped myanmar violence told stay put,True
1,kenya official change way announcing election result,True
0,bundy case ruled mistrial federal case soon crumble,Fake
0,fired mitt romney niece tell mi gop grassroots chair former ted cruz state director get behind trump get lost,Fake
1,schaeuble head german parliament unblocking coalition talk,True
1,least four killed british motorway crash police,True
1,erdogan adviser see recovery turkey tie germany eu,True
1,france skip 2018 winter game security assured,True
0,group terror tie encourages muslim swing u presidential election turn islamic center,Fake
1,britain leave eu single market custom union one nation minister,True
0,take poll think president trump pick replace james comey,Fake
1,london ambulance service sends hazardous area response team station incident,True
0,party corruption clinton campaign directly tied disgraced dnc consultant,Fake
0,meredith corp koch money buy time inc,Fake
0,tyson food destroying small town forcing taxpayer pick housing,Fake
1,spanish auditor demand catalan leader pay previous independence vote el pais,True
1,rocky history nafta,True
0,marine arrested complaining government facebook suing government video,Fake
1,may conservative win vote bolster party number committee,True
0,official trump potus 45,Fake
1,exclusive post election,True
0,hillary flip flop highlight reel,Fake
1,cult crime,True
1,eu refugee court ruling trigger new east west feuding,True
0,oops trump hating dem senator caught huge lie claimed never met spoke russian ambassador forgot time dinner home,Fake
0,student sent home school wearing traditional swiss clothing considered racist,Fake
1,catalan choice delay say former adviser,True
0,crocodile tear watch obama use phony outrage gain sympathy gun control,Fake
0,anti trump protester applaud hitler speech given undercover trump supporter resisttrump rally video,Fake
0,flashback video jesse jackson praise donald trump commitment bringing black,Fake
0,peggy hubbard defends trump talk attacked defended confederate statue antifa black life matter showed weapon,Fake
0,paul joseph watson expose medium obsession trump call taiwan leader 14 second video,Fake
1,putin call tougher north korea sanction senseless warns global catastrophe,True
0,get jail free obama race war quietly funded jay z,Fake
1,exiled venezuelan opposition magistrate resurface chile,True
1,britain queen elizabeth open scotland third forth bridge,True
0,democrat mayor proclaims barring trump entering st petersburg,Fake
1,give u clarity brexit french minister griveaux tell uk,True
0,breaking man rush paris police station door knife screaming allahu akbar another muslim clock boy,Fake
0,priceless watch bill clinton awkward response asked perverted past fair game,Fake
1,india eye airport sri lanka near chinese belt road outpost,True
1,turkey open military base mogadishu train somali soldier,True
0,hillary clinton presidency already begun lame duck promote war syria,Fake
1,sudan regret u putting trafficking list sanction decision,True
1,putin dial anti u rhetoric keep mum election,True
0,boiler room ep 127 oppression commiseration similar topic,Fake
1,british police chasing suspect train bombing,True
1,greece overcomes forestry setback develop athens coastal resort,True
0,facebook hire porn star husband accused defrauding snopes website fact check mostly conservative website,Fake
1,samsung leader jay lee given five year jail sentence bribery,True
0,hulk hogan kicked curb wwe speculation racist comment,Fake
1,trump meeting malaysia pm seek put 1mdb scandal behind,True
1,idea less hope leave syria crisis back burner u n,True
0,another american known wolf fort lauderdale shooter known fbi,Fake
1,russia lavrov tillerson talk syria bombing allegation,True
0,hilarious watch happens campus cop try kick student trump campus building trump wall video,Fake
1,bosnia serb region declares neutrality bid block nato membership,True
1,malaysia royal call religious tolerance rare public intervention,True
1,fewer baby born singapore last year despite incentive,True
0,fbi director confirms hillary worst nightmare found creep laptop video,Fake
0,wow hillary took state department furniture furnish residence,Fake
1,kenya hold new presidential vote oct 17 electoral commission,True
0,watch trump supporter big joe surrounded woman march los angeles political correctness disease video,Fake
0,boiler room ep 124 weather warfare cnn goblin pit,Fake
0,anonymous video bill clinton raping 13 yr old could end crooked hillary,Fake
0,dem rep,Fake
0,violent riot shuts free speech breitbart miloyiannopoulos berkeley video,Fake
0,must watch video steve bannon think going give country back without fight,Fake
0,breaking crooked sec state hillary knew taking 12 million king mohammed vi corrupt morocco might hurt campaign took anyway video,Fake
0,breaking trump announces nominee secretary state liberal head explode,Fake
1,transylvanian dream juncker antidote brexit nightmare,True
1,france macron say euro zone need budget finance minister,True
0,boiler room ep 71 one million mark,Fake
1,mexico politician fear flunking quake test 2018 vote,True
1,echoing france germany say may offered nothing concrete brexit,True
1,four nation meet resume stalled afghan peace talk oman,True
1,polish legal expert say poland demand german reparation,True
1,star war 2 0 washington battle fund space warfare,True
1,egypt court sentence mursi 25 year qatar spy case,True
0,watch happens random people asked sign petition allowing illegal alien murderer,Fake
1,belgian mayor threatened islamist convert islam die,True
0,leftist alan colmes think stop using national anthem sporting event,Fake
0,king obama threatens congress mess iran deal congress pull white flag obama hand video,Fake
0,former clinton political advisor left hillary hired secret police go woman victimized bill video,Fake
0,church replaces jesus nativity scene drowned muslim syrian boy,Fake
1,fear driving cambodian opposition mp abroad party say,True
1,china offer support myanmar u n amid rohingya crisis,True
0,pope francis worry usa distorted vision world,Fake
1,china welcome myanmar effort alleviate situation rakhine,True
1,police order berlin district evacuation ww2 bomb find,True
0,mass exodus democrat party liberal massachusetts trump effect,Fake
0,false alarm psy op lax active shooter spectacle,Fake
1,indonesia tightens rule curb money laundering terror funding,True
1,lexisnexis withdrew two product chinese market,True
1,former iraqi president talabani buried kurdish home region,True
0,remember democrat,Fake
1,russia north korea discus nuclear crisis moscow,True
0,young chinese woman chase dream abroad look wistfully home,Fake
0,fbi cracked terror plot black friday may worse 9 11,Fake
1,china say freed swedish bookseller whereabouts still unknown,True
0,new cold war chilling prospect world,Fake
0,breaking ford announces 700 million u investment job,Fake
0,laura ingraham brilliant idea shake liberal college campus video,Fake
1,casting crisis orlando actor,True
1,catalan leader puigdemont speak catalan parliament tuesday,True
1,uk government confident winning vote brexit legislation spokesman,True
0,breaking ecuadorian embassy admits cut wikileaks internet pressure john kerry,Fake
1,kenya risk constitutional crisis ahead election run top legal official,True
1,britain say window restore northern ireland devolution closing rapidly,True
0,ep 11 patrick henningsen live top trump trend 2017 guest gerald celente,Fake
0,boiler room ep 70 stick,Fake
0,hillary clinton jump shark trump secret russian server conspiracy theory,Fake
0,remember democrat operative caught bragging voter fraud operation wi video,Fake
1,rohingya insurgent declare temporary ceasefire amid humanitarian crisis,True
1,spain suspend catalonia autonomy response independence threat,True
1,britain say syrian reconstruction political transition away assad,True
0,democrat wrote paper woman fantasize gang raped draw larger crowd gop presidential candidate,Fake
0,missed brilliant daniel hannan socialism versus liberty hitler socialist video,Fake
1,activist make impact,True
1,kenyan election head guarantee vote free fair,True
1,one french soldier killed iraq syria area french presidency,True
0,cloaked conspiracy overview jfk file reopens door coup tat claim cold war era false flag terror,Fake
0,dead dictator rusting boat fight history,Fake
1,facing potential wheat crisis egypt play poppy seed risk,True
0,detroit free press editor call gruesome murder mi gop lawmaker,Fake
0,sex roulette party rise one person secretly hiv entertained thrill knowing video,Fake
0,hollywood hip al qaeda oscar best documentary short go,Fake
1,rohingyas must go home safety bangladesh say,True
0,medium ignores time bill clinton fired fbi director day vince foster found dead,Fake
0,patriot owner trump toughest time life,Fake
0,whoa flashback video andrew breitbart closet john podesta,Fake
0,senator elizabeth warren try trash republican latest tweet sitting desk everyone laughing,Fake
0,muslim teen wrote 3 radical word college application accepted prestigious stanford university,Fake
1,thousand queue pay last respect thailand late king bhumibol,True
0,paul ryan made mockery trump promise protect blue collar job foreign worker,Fake
0,exposed u backed war syria helped isi expand operation,Fake
1,south african supreme court upholds reinstating 783 corruption charge zuma,True
0,bombshell clinton wikileak expose entire shadow government jay dyer vid,Fake
1,medium link domestic drone surveillance trump zero evidence,True
1,turk safe germany merkel say dismissing ankara warning,True
0,alt left attack phoenix police karma hit back hurt video,Fake
0,another known wolf nyc bombing suspect probed fbi,Fake
0,wow russian hacker give stunning detail deal fbi offered falsely claim hacked hillary email behalf putin trump,Fake
1,russia version paris hilton announces presidential bid,True
0,nj gov chris christie get cub fan face baseball game pretty video,Fake
1,exclusive bloomberg charity scrutinized india anti tobacco funding lobbying document,True
1,turkey could look elsewhere russia share missile technology minister,True
0,tough texas mayor fought back implementation sharia law city join trump team video,Fake
0,breaking brazil detains two u olympic swimmer robbery investigation let swimmer go,Fake
0,hillary us fake accent victory speech attack police want build record accomplishment president obama,Fake
0,ultimate community organizer neighborhood white rich obama plan fix using government force diversity,Fake
0,hillary lie way one physician say hillary parkinson disease hillary admits even get convention,Fake
1,merkel bavarian ally insist conservative unity coalition talk,True
1,catalan mayor exercise right remain silent referendum questioning,True
1,hezbollah say bulk convoy left syrian government area,True
0,nfl legend supported hillary leaf cnn host speechless praise trump people called name reached back brought along held grudge video,Fake
0,video racist president invite muslim join black victim pool celebrating ramadan white house,Fake
0,julian assange reveals john podesta hilarious email password 14 year old kid could hacked podesta video,Fake
1,u call russia release crimean dissident state dept,True
1,utah rancher vow stand government abuse despite oregon arrest,True
1,nato launch black sea force latest counter russia,True
0,convenient active shooter kill 5 fort lauderdale,Fake
1,lawmaker urge u craft targeted sanction myanmar military,True
0,national security sale univision chair give hillary 7 million keep border open,Fake
0,nail mike rowe trump hillary supporter like video,Fake
0,say obama give go ahead new un regional hub washington dc plan use center disturbing,Fake
1,frankfurt evacuate 60000 people defuse british wwii bomb,True
0,dingbat maxine water tell islamic society republican trying prevent sharia law enforced america contrary american value threatens national security video,Fake
0,myriad way cia tried failed assassinate fidel castro,Fake
1,britain saudi arabia sign military cooperation deal state medium,True
0,unreal new york time blame conservative berkeley violence watch video truth video,Fake
0,cia official tell jury day hell broke loose benghazi,Fake
1,india struggle rein border flow cattle rohingya,True
1,german party coalition talk agree stick balanced budget,True
0,update pressure miss usa flip flopped healthcare video,Fake
0,video black man tell reporter taking protest charlotte suburb,Fake
1,british pm expected offer fill post brexit eu budget hole ft,True
1,russia say iraqi kurd must act concert baghdad,True
1,german citizen trial turkey political charge medium,True
0,mike huckabee defends daughter sarah make hilarious comparison medium preschool age grandchild,Fake
1,syria u peace council address united nation nyc,True
1,head germany fdp offer macron bittersweet euro zone deal,True
1,opposition challenge venezuelan socialist vote win urge protest,True
0,cnn fareed zarakia trump supporter stupid racist video,Fake
1,raqqa tribal chief say sdf agrees let syrian fighter leave city statement,True
1,thousand indonesian join anti myanmar rally jakarta,True
1,fire bangladesh textile factory kill six,True
0,hurricane irma kill five sweep island saint martin,Fake
0,obama flood america illegal alien,Fake
0,list 24 republican voted yes keep obama taxpayer funded sex change surgery place transgenders military,Fake
0,tea party making comeback conservative reorganize mobilize fight back rent mob democrat,Fake
0,communist sympathizer nyc mayor deblasio encourages anti trump protester keep going people fight back,Fake
0,active shooter drill suddenly go live joint base andrew maryland,Fake
1,turkey follow west lead right author orhan pamuk,True
0,dear mr president said lock asking video,Fake
1,german wage talk include new focus reduced working hour,True
1,china say good preparation made trump visit,True
0,hillary clinton crashing poll move obama strategy using taxpayer money give away free sh,Fake
0,u medium hyped active shooter drill andrew base real event,Fake
1,russian presidential hopeful say sling mud putin,True
0,joe biden shocking announcement hell,Fake
0,sick trend sologamist describes like bride groom worth video,Fake
1,mattis looking see change need made niger ambush,True
0,another soldier obama race war 4 white people shot tn ambush,Fake
0,democrat senator make fake anti trump story cnn interview video,Fake
0,retired cop pen gut wrenching viral letter 49er qb colin kaepernick must read,Fake
1,austria playing game ban face concealing islamic dress mandate integration course else,True
0,predicted,Fake
1,trump conduct sting operation u intelligence service,True
1,china fuel export north korea slow custom,True
1,france open door strengthen iran nuclear deal post 2025,True
0,boom small alabama town take target man using woman restroom,Fake
1,trump nominate juster ambassador india white house,True
0,window 10 stealing bandwidth might want delete,Fake
1,istanbul ataturk airport reopens jet crash turkish airline ceo say,True
1,china urge restraint amid war word trump north korea,True
1,romania ruling party endorses government reshuffle plan,True
1,putin say military strike north korea sure succeed,True
0,panhandler confronted outraged man video,Fake
1,trump say iran violating nuclear deal mean u withdrawal haley,True
1,hoyer asked german finmin post say extremely happy eib,True
1,shrillary give bitter concession speech new hampshire,True
1,putin watch russia intensifies war game rattled west,True
0,boom marco rubio best line day comey hearing video,Fake
0,episode 199 sunday wire trigger warning id politics gilad atzmon jay dyer,Fake
1,u interfere eu trade iran tillerson,True
0,shocker cnn panel rip dnc chair disgusting profanity laden speech video,Fake
0,russian street preacher v american student,Fake
1,saudi arabia seek islamic tourism boost test heritage tradition,True
0,e williams anti trump protester,Fake
0,boiler room ep 48 agenda 2030 beyond branko malić,Fake
0,al sharpton blame racism trump victory,Fake
1,ukraine say ammo depot explosion huge blow combat capability,True
1,syria fighting worst since aleppo air strike deadly aid agency,True
0,new york time advocating internet censorship controlled approved agent,Fake
1,kenya police shoot dead two opposition protest commissioner,True
0,trey gowdy reminds comey 10 year jail obama official leaked info video,Fake
1,factbox catalonia spain crisis happens next,True
1,iraq pm abadi expects islamic state complete defeat iraq year,True
0,hillary clinton victory fund get massive cash injection hedge fund management soros,Fake
0,thanksgiving day fake news turkey shoot boiler room special holiday event,Fake
0,obama join comedy central host push laughable establishment conspiracy theory dnc leak,Fake
1,four briton kidnapped nigeria delta state police,True
1,j f call brazil judge decision freeze asset legally fragile,True
1,syrian army ally seize jordanian frontier report,True
1,uk top court seek clarity handle eu ruling brexit,True
1,britain worried violence catalonia say vote constitutional johnson,True
1,tillerson visit saudi arabia qatar pakistan india switzerland,True
1,ex soccer star king george nears goal liberia presidency,True
